"t","a_x","a_y","a_z","a_abs"
1.552630417E0,-5.194198608E0,7.457791443E0,3.460354156E0,9.724834357E0
1.562709417E0,-4.866829376E0,6.443350983E0,2.014361115E0,8.322286390E0
1.572787417E0,-4.423750763E0,6.508465576E0,8.686436462E-1,7.917337731E0
1.582866417E0,-6.412964172E0,7.271428986E0,-2.371069336E-1,9.698247711E0
1.592945417E0,-7.776029663E0,6.502478027E0,1.006956024E0,1.018640360E1
1.603023417E0,-6.180497589E0,5.710325317E0,1.511407013E0,8.549310898E0
1.613102417E0,-4.480931854E0,5.933361511E0,-1.377734985E0,7.561857100E0
1.623180417E0,-3.748954010E0,6.425687714E0,-2.114502869E0,7.734031364E0
1.633259417E0,-3.248993683E0,7.050189056E0,-2.445913696E0,8.139018337E0
1.643338417E0,-1.200952606E0,6.706952820E0,-2.467169495E0,7.246545978E0
1.653416417E0,-1.234931946E-1,7.196584625E0,-2.340532837E0,7.568630973E0
1.663495417E0,-1.363813934E0,8.125103760E0,-2.340532837E0,8.564776326E0
1.673574417E0,-2.436034241E0,9.232201538E0,-2.493215332E0,9.868329684E0
1.683652417E0,-3.640579376E0,9.392967224E0,-1.054706726E0,1.012887248E1
1.693731417E0,-2.846929779E0,8.369844818E0,1.817071381E0,9.025578089E0
1.703810417E0,-3.653153229E0,1.057999878E1,3.237168274E0,1.165165916E1
1.713888417E0,-4.352049866E0,1.105466171E1,3.321293335E0,1.233599907E1
1.723967417E0,-2.888992310E0,8.457263031E0,6.319857788E0,1.094587489E1
1.734045417E0,-6.391708374E-2,6.278244324E0,1.069974976E1,1.240584870E1
1.744124417E0,-1.926493835E0,6.508016510E0,4.389771423E0,8.083053293E0
1.754203417E0,-2.186353455E0,5.580245819E0,3.276686096E-1,6.002220551E0
1.764281417E0,-7.253915405E-1,5.341941376E0,-8.078700256E-1,5.451163594E0
1.774360417E0,7.405101013E-1,4.240681458E0,-6.155200195E-1,4.348631892E0
1.784439417E0,1.340312805E0,4.007017365E0,-8.442443848E-2,4.226080224E0
1.794517417E0,2.890489197E-1,5.128634949E0,3.667373657E-2,5.136904776E0
1.804596417E0,-2.273771667E-1,5.783223724E0,5.836363220E-1,5.817044643E0
1.814674417E0,-3.981719971E-1,6.515201569E0,1.350341949E0,6.665569428E0
1.824753417E0,-1.322649536E0,8.274942169E0,2.171384583E0,8.656730370E0
1.834832417E0,-1.459165649E0,8.251441040E0,2.893482971E0,8.864969675E0
1.844910417E0,-1.352287903E0,8.567882996E0,2.501298523E0,9.027391423E0
1.854989417E0,-2.211052094E0,9.413175201E0,2.239492950E0,9.925318504E0
1.865068417E0,-3.696712646E0,9.408534851E0,2.818488922E0,1.049428855E1
1.875146417E0,-4.594096527E0,9.202862549E0,3.201392670E0,1.077252603E1
1.885225417E0,-4.483177185E0,9.800120544E0,3.563789062E0,1.135085164E1
1.895304417E0,-4.398303680E0,1.007195526E1,3.732787628E0,1.160702639E1
1.905382417E0,-3.794459381E0,9.276359711E0,2.972668304E0,1.045397189E1
1.915461417E0,-2.596051483E0,9.172176361E0,2.518662415E0,9.859612714E0
1.925539417E0,-2.099683685E0,9.134155426E0,3.059637451E0,9.859150484E0
1.935618417E0,-2.255659332E0,9.316176910E0,4.028722229E0,1.039758405E1
1.945697417E0,-1.137783966E0,9.099727020E0,4.618046722E0,1.026771346E1
1.955775417E0,-1.185834045E0,8.613088989E0,3.997586975E0,9.569336756E0
1.965854417E0,-3.319796448E0,7.760611725E0,3.232078857E0,9.038499684E0
1.975933417E0,-4.631069641E0,6.673422546E0,2.910996552E0,8.628747037E0
1.986011417E0,-4.244723053E0,6.374793549E0,3.221900024E0,8.308808961E0
1.996090417E0,-6.177952881E0,6.657405853E0,2.551144867E0,9.433795346E0
2.006168417E0,-6.904541931E0,6.469995575E0,1.838027802E0,9.639081295E0
2.016247417E0,-5.629493408E0,6.643335114E0,1.729802856E0,8.877911657E0
2.026326417E0,-6.916666718E0,6.812034302E0,9.379495239E-1,9.753145089E0
2.036404417E0,-8.207282867E0,6.315217438E0,-8.208929443E-1,1.038823029E1
2.046483417E0,-8.715925140E0,6.802903290E0,-2.909349976E0,1.143289821E1
2.056562417E0,-9.651779022E0,7.115902405E0,-4.560117188E0,1.282916888E1
2.066640417E0,-9.897567902E0,7.975415039E0,-5.348677368E0,1.379048386E1
2.076719417E0,-9.274713135E0,8.049960022E0,-5.283712463E0,1.336935965E1
2.086798417E0,-7.262148285E0,8.147557068E0,-4.652774506E0,1.186464473E1
2.096876417E0,-5.289700012E0,8.828341370E0,-3.706442413E0,1.093884148E1
2.106955417E0,-4.975054321E0,8.642727356E0,-2.539319458E0,1.029058040E1
2.117033417E0,-5.537734222E0,8.471782837E0,-9.469308472E-1,1.016534716E1
2.127112417E0,-5.910908203E0,7.974816284E0,-1.302291870E-2,9.926565375E0
2.137191417E0,-6.370003510E0,7.519163818E0,2.504292297E-1,9.857864071E0
2.147269417E0,-5.280868378E0,7.759563904E0,-1.875599670E-1,9.387948740E0
2.157348417E0,-4.870721283E0,7.937992859E0,-8.566685486E-1,9.352515033E0
2.167427417E0,-4.449347534E0,8.427025909E0,-1.119222565E0,9.595004862E0
2.177505417E0,-5.433850250E0,8.743767242E0,-1.378633118E0,1.038656938E1
2.187584417E0,-8.411458282E0,7.687114563E0,-1.453776855E0,1.148728984E1
2.197662417E0,-9.553433533E0,7.159162445E0,-6.134243774E-1,1.195399467E1
2.207741417E0,-1.190100174E1,5.065915375E0,-1.559756470E-1,1.293528776E1
2.217820417E0,-7.937244415E0,5.918692017E0,6.599775696E-1,9.923020432E0
2.227898417E0,-4.744683380E0,6.685098267E0,1.688937836E0,8.369890694E0
2.237977417E0,-3.345991974E0,7.526049500E0,1.469943237E0,8.366469774E0
2.248056417E0,-2.808609467E0,7.615413666E0,7.924520874E-1,8.155414934E0
2.258134417E0,-4.123924255E-1,7.813451843E0,-1.172062683E-1,7.825205079E0
2.268213417E0,4.899611206E0,8.692124634E0,-7.173083496E-1,1.000368691E1
2.278292417E0,1.020308258E1,1.065648972E1,-1.136885834E0,1.479716786E1
2.288370417E0,1.242610977E1,1.271336243E1,-2.351160736E0,1.793225432E1
2.298449417E0,1.031130753E1,1.438059540E1,-3.107986908E0,1.796619519E1
2.308527417E0,6.552324371E0,1.518068161E1,-1.748064880E0,1.662653841E1
2.318606417E0,2.819087677E0,1.548080750E1,4.399351501E-1,1.574154373E1
2.328685417E0,7.550299072E-1,1.527977554E1,1.685494995E0,1.539098776E1
2.338763417E0,3.758683777E-1,1.406639877E1,1.359922028E0,1.413698127E1
2.348842417E0,4.757107544E-1,1.324146423E1,1.015787659E0,1.328888635E1
2.358921417E0,8.131091309E-1,1.224393860E1,2.405497742E-1,1.227326538E1
2.368999417E0,1.697170715E0,1.153860535E1,-7.631130981E-1,1.168769196E1
2.379078417E0,2.916535034E0,1.105735611E1,-1.707199860E0,1.156225895E1
2.389157417E0,3.542982330E0,1.047446823E1,-1.888023834E0,1.121747933E1
