"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.832784500E0,-6.348598022E0,-9.752968597E0,1.715283051E0,1.176296261E1
1.842864500E0,-4.753065948E0,-8.110583954E0,9.714797974E-1,9.450766158E0
1.852945500E0,-2.453098755E0,-6.364764404E0,3.059637451E-1,6.827996283E0
1.863025500E0,5.224136353E-2,-4.779560852E0,3.320095825E-1,4.791363215E0
1.873105500E0,3.238814850E0,-4.536166992E0,-4.504133606E-1,5.591923176E0
1.883186500E0,6.025270386E0,-5.787115631E0,-1.481618958E0,8.484679445E0
1.893266500E0,7.186705170E0,-6.980883179E0,-9.467811584E-1,1.006368997E1
1.903346500E0,7.166796570E0,-6.855144653E0,7.343728638E-1,9.944610842E0
1.913427500E0,8.183482361E0,-6.944658508E0,1.449136505E0,1.083040451E1
1.923507500E0,1.024484573E1,-7.343878326E0,2.118544464E0,1.278192644E1
1.933588500E0,1.146765289E1,-7.882009277E0,2.829116821E0,1.419989560E1
1.943668500E0,1.040321640E1,-8.911418610E0,2.744692383E0,1.397045559E1
1.953748500E0,7.655829620E0,-1.011102402E1,2.189945984E0,1.287013587E1
1.963829500E0,4.212689667E0,-1.127650040E1,1.507215729E0,1.213169051E1
1.973909500E0,1.679806824E0,-1.217597992E1,1.005159760E0,1.233233896E1
1.983989500E0,6.709048462E-1,-1.279194901E1,1.229692841E0,1.286841937E1
1.994070500E0,4.513114929E-1,-1.313713120E1,1.307081909E0,1.320970708E1
2.004150500E0,5.758525085E-1,-1.312350952E1,9.081614685E-1,1.316749276E1
2.014231500E0,1.374890900E0,-1.260813126E1,6.297404480E-1,1.269849880E1
2.024311500E0,1.785187683E0,-1.045890060E1,6.828799438E-1,1.063211277E1
2.034391500E0,2.678979034E0,-8.700357513E0,7.402107239E-1,9.133513094E0
2.044472500E0,3.377426605E0,-8.038883057E0,7.580236816E-1,8.752442583E0
2.054552500E0,3.572620697E0,-8.036937103E0,8.316705322E-1,8.834458247E0
2.064632500E0,1.425036621E0,-8.132438507E0,-1.173709259E0,8.339357221E0
2.074713500E0,9.457333374E-1,-8.963360596E0,1.617386627E0,9.157083827E0
