"t","a_x","a_y","a_z","a_abs"
1.149901417E0,-3.409459991E0,3.191049179E1,9.274713135E-1,3.210551521E1
1.159980417E0,-2.961142273E0,3.214295837E1,2.004781036E0,3.234126286E1
1.170060417E0,-1.892065430E0,3.179163895E1,1.209784241E0,3.187086124E1
1.180139417E0,-9.868977356E-1,3.171155548E1,4.085005188E-1,3.172953814E1
1.190218417E0,-5.427713013E-1,3.190465393E1,1.873054962E0,3.196419681E1
1.200298417E0,-5.173242188E-1,3.194656677E1,5.410199432E0,3.240557068E1
1.210377417E0,-9.418414307E-1,2.997157379E1,7.204967194E0,3.083980955E1
1.220456417E0,-1.071920929E0,2.595782043E1,5.555996246E0,2.656739638E1
1.230536417E0,-7.203021240E-1,2.183449493E1,3.178789673E0,2.207642879E1
1.240615417E0,-4.143383789E-1,1.787687485E1,1.818418579E0,1.797389709E1
1.250694417E0,-6.991960144E-1,1.370759491E1,-3.562591553E-2,1.372546183E1
1.260773417E0,-1.193468170E0,9.654623108E0,-1.440155182E0,9.834132426E0
1.270853417E0,-1.751956787E0,6.165977783E0,-1.407672729E0,6.562787298E0
1.280932417E0,-1.741628265E0,1.388961639E0,-6.698570251E-1,2.326196871E0
1.291011417E0,-1.138532410E0,-2.946772156E0,-3.353027344E-1,3.176814459E0
1.301091417E0,-1.873354340E0,-4.360133057E0,-4.752616882E-1,4.769286155E0
1.311170417E0,-1.619482269E0,-4.851561127E0,-1.075363770E0,5.226545267E0
1.321249417E0,-6.929090881E-1,-5.189707947E0,-1.517693939E0,5.451292184E0
1.331328417E0,-2.055226135E-1,-5.040468292E0,-2.872975616E0,5.805389655E0
1.341408417E0,1.781295776E-2,-4.426744537E0,-4.340673523E0,6.199825089E0
1.351487417E0,5.390290833E-1,-3.144810333E0,-4.357139282E0,5.400467305E0
1.361566417E0,1.099912720E0,-1.189276886E0,-2.217339020E0,2.746048039E0
1.371646417E0,1.664388885E0,6.855743408E-1,1.076710968E0,2.097500667E0
1.381725417E0,1.561552734E0,2.396067352E0,3.944447479E0,4.872191664E0
1.391804417E0,1.465302887E0,2.996169434E0,5.284610596E0,6.249100173E0
1.401884417E0,1.527274017E0,2.882406006E0,4.919669495E0,5.902878810E0
