"t","a_x","a_y","a_z","a_abs"
1.432429213E1,-3.526965637E0,-7.870573059E1,6.621181183E0,7.906245351E1
1.433437213E1,-1.228255829E1,-6.035284561E1,-4.722679138E-1,6.159180342E1
1.434445213E1,-7.151228943E0,-3.459979935E1,-2.868035889E-1,3.533225787E1
1.435453212E1,-1.201551361E0,-2.379227371E1,1.626667328E0,2.387806652E1
1.436461213E1,1.469943237E-1,-1.820798630E1,3.496429138E0,1.854123483E1
1.437469213E1,2.215393066E-1,-1.577584396E1,4.874164124E0,1.651314047E1
1.438477212E1,-1.491947479E0,-1.508398270E1,5.099295959E0,1.599235006E1
1.439485213E1,-3.816463623E0,-1.496093857E1,4.394411774E0,1.605322187E1
1.440493213E1,-4.927453308E0,-1.379471375E1,3.220702515E0,1.499822817E1
1.441501213E1,-4.593797150E0,-1.149384842E1,2.224075012E0,1.257608975E1
1.442509213E1,-3.829935608E0,-8.257278900E0,1.780247955E0,9.274715326E0
1.443517212E1,-3.226690063E0,-4.867428131E0,7.812254333E-1,5.891833208E0
1.444525213E1,-2.730621643E0,-1.322948914E0,-1.210382996E0,3.266728544E0
1.445533213E1,-2.296075287E0,2.540067902E0,-2.121388550E0,4.027927016E0
1.446541212E1,-1.809287567E0,6.436614990E0,-1.184935913E0,6.790258254E0
1.447549213E1,-7.200027466E-2,7.939639435E0,9.264234924E-1,7.993830051E0
1.448557213E1,3.037184143E-1,7.809559937E0,2.853516083E0,8.320097674E0
1.449565213E1,4.454736328E-1,8.091872864E0,3.275189209E0,8.740922008E0
1.450573213E1,8.210426331E-1,8.532107391E0,1.870510254E0,8.773242055E0
1.451581212E1,1.118324432E0,7.869884491E0,5.102888489E-1,7.965307662E0
1.452589213E1,1.338217163E0,6.649622040E0,5.493576050E-2,6.783164187E0
1.453597113E1,1.196312256E0,5.424120483E0,-9.819580078E-2,5.555347734E0
1.454605113E1,4.252656555E-1,3.924538879E0,-6.589297485E-1,4.002130021E0
1.455613113E1,-7.000941467E-1,1.539997559E0,-1.421593781E0,2.209672639E0
1.456621112E1,-1.267264709E0,-2.106120300E-1,-2.305355988E0,2.639125518E0
1.457629113E1,-1.480271759E0,-1.210382996E0,-2.775677948E0,3.370551816E0
1.458637113E1,-1.531914368E0,-1.979483643E0,-2.391726379E0,3.462004072E0
1.459645112E1,-1.153201904E0,-2.506387939E0,-1.455273743E0,3.119242985E0
1.460653113E1,5.493576050E-2,-2.765648804E0,-3.692820740E-1,2.790734759E0
